施設・事業名,緯度,経度
おれんじハウス二俣川保育園,35.46972,139.54039
旭ローズ保育園,35.462464,139.530473
すずらん二俣川保育園,35.461708,139.527463
マミー保育園二俣川,35.461886,139.527636
保育園スマイルキッズ二俣川駅前,35.458814,139.53091
横濱あんじゅ小規模保育園,35.458687,139.533449
サクラフェリーチェ保育園　二俣川,35.415438,139.500036
とこちゃん☆みっつ保育園,35.468965,139.503173
ハニービー保育園,35.460839,139.508836
スマイルビー保育園,35.461899,139.506586
前島保育園,35.474431,139.550657
サフォークキッズランド横浜園,35.461984,139.529304
ひより保育室,35.469747,139.528865
タドラーキッズ,35.462016,139.508723
あっぷる滝頭保育園,35.423084,139.617044
横浜市東滝頭保育園,35.419531,139.623224
東滝頭保育園　分園,35.419531,139.623224
横浜ナーサリー,35.424194,139.621152
岡村幼児園,35.4161,139.613156
金剛保育園,35.416032,139.608182
根岸星の子保育園,35.416562,139.637979
原町星の子保育園,35.415263,139.630335
西町星の子保育園,35.416012,139.631861
太陽の子　磯子保育園,35.403619,139.619789
ヨコハマみらい保育園,35.403655,139.61973
磯子おひさま保育園,35.403929,139.61889
横浜おひさま保育園,35.403143,139.618352
にじいろ保育園　磯子,35.402398,139.615567
キッズガーデン横浜磯子,35.403672,139.619353
日枝幼児園,35.408956,139.619449
グローバルキッズ磯子保育園,35.398897,139.617841
太陽の子　磯子第二保育園,35.398598,139.614702
汐見台愛育園,35.404622,139.611979
ペガサスわくわくランド,35.395808,139.613552
森幼児園,35.396801,139.612187
屏風ヶ浦はるかぜ保育園,35.395225,139.608611
屏風ゆめの森保育園,35.394027,139.609982
屏風ヶ浦保育園,35.392181,139.61062
新杉田のびのび保育園,35.385199,139.61917
にじいろ保育園　新杉田,35.382585,139.622042
杉田幼児園,35.382416,139.619888
杉田保育園,35.372481,139.618667
つくしんぼ保育園,35.369995,139.613545
アスク新杉田保育園,35.384494,139.621012
アスク新杉田駅前保育園,35.38459,139.621335
キッズパートナー磯子中原,35.38956,139.612052
洋光台保育園,35.380841,139.596466
にじいろ保育園　洋光台,35.382327,139.59863
やべのファミリールーム,35.380522,139.598264
横浜市洋光台第二保育園,35.377765,139.599301
スターチャイルド≪洋光台ナーサリー≫,35.37708,139.593388
洋光台中央福澤保育センター,35.376783,139.593475
根岸すみれ保育園,35.415569,139.629813
根岸サンフラワー保育園,35.415643,139.628984
ベイキッズなのはな保育園,35.399219,139.616502
森おひさま保育園,35.398839,139.614426
汐見台第二愛育園,35.401851,139.609992
岩原保育室,35.385371,139.618434
ピノキオ幼児舎 新杉田園,35.38329,139.617219
みらいつばさ新杉田保育園,35.382585,139.622042
チームナーサリーＢｉｇ Ｈｕｇ洋光台,35.379883,139.600094
チームナーサリーＢｉｇ Ｈｕｇ洋光台２,35.379883,139.600094
くろかわ保育室,35.380593,139.604487
とみおかスマイル保育園,35.368184,139.631318
アイグラン保育園富岡東,35.365975,139.63106
金沢ふたば保育園,35.379653,139.633468
横浜市並木保育園,35.373935,139.638434
かぜのね保育園,35.367041,139.640179
わらべシーサイド保育園,35.367082,139.636513
ちゃいれっく　並木二丁目保育室,35.364228,139.638308
ビアレ横浜スマイル保育園,35.36182,139.639307
しののめ並木保育園,35.356773,139.642434
アイン能見台駅前保育園,35.361208,139.629322
マミングステーション,35.360308,139.629044
きらら保育園,35.359841,139.625894
ＹＭＣＡマナ保育園,35.359489,139.62786
きらら子どもの家,35.354371,139.621614
金沢ぴよっこ保育園,35.358111,139.628872
西柴保育園,35.349935,139.628613
あおぞら谷津保育園,35.34672,139.622222
スターチャイルド≪金沢文庫ナーサリー≫,35.345479,139.623154
京急キッズランド金沢文庫保育園,35.344775,139.622245
＋Ｕすくすくキッズ園,35.343712,139.622573
横浜市金沢さくら保育園,35.339373,139.621114
アイン金沢文庫保育園,35.345128,139.617425
にじいろ保育園金沢文庫,35.344432,139.618394
フレンド金沢文庫保育園,35.342944,139.619928
にじいろ保育園釜利谷,35.342644,139.619485
明日葉保育園金沢文庫園,35.342916,139.61941
マミーズエンジェル金沢文庫駅前保育園,35.343066,139.618578
かまりや保育園,35.34026,139.618243
おひさま保育室,35.550061,139.597832
